interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11051.00;DEFAULT_EDGEDATA;0;54.03;309;15234;1033;0;0;9.01;15543;4.50;2.85;41235.99;26.03;0.90;3883.24;2.65;0.00
0.00;11051.00;DEFAULT_EDGEDATA;120;3.41;0;1080;1034;0;0;1.71;960;0.85;0.60;464.82;28.65;0.99;2.48;0.43;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;13.95;249;3936;1035;0;0;6.97;4185;3.49;0.61;1775.75;27.15;0.93;99.98;0.42;0.00
0.00;11051.00;DEFAULT_EDGEDATA;852;16.90;6;5016;1036;0;0;5.63;4170;2.82;1.00;4105.63;26.89;0.93;264.59;0.82;0.00
0.00;11051.00;DEFAULT_EDGEDATA;192;429.41;0;11640;1037;0;0;107.35;11448;53.68;11.53;110472.60;2.45;0.08;101059.11;9.49;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;7.27;27;2196;1038;0;0;3.64;2223;1.82;2.99;6245.50;27.66;0.95;220.81;2.81;0.00
0.00;11051.00;DEFAULT_EDGEDATA;54;2.11;9;654;1039;0;0;1.06;609;0.53;1.74;1035.79;28.43;0.98;8.96;1.56;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.95;144;2028;104;0;0;2.32;2172;1.16;1.08;1964.40;28.26;0.97;41.05;0.90;0.00
0.00;11051.00;DEFAULT_EDGEDATA;69;8.73;0;2733;1040;0;0;2.91;2664;1.46;1.38;3280.50;28.33;0.97;61.93;1.20;0.00
0.00;11051.00;DEFAULT_EDGEDATA;153;8.54;0;2664;1041;0;0;2.85;2511;1.42;1.32;3037.88;28.24;0.97;65.39;1.14;0.00
0.00;11051.00;DEFAULT_EDGEDATA;12;26.40;0;7479;1042;0;0;13.20;7467;6.60;2.19;14911.05;25.63;0.88;1644.09;1.99;0.00
0.00;11051.00;DEFAULT_EDGEDATA;6;0.59;0;189;1043;0;0;0.59;183;0.30;2.89;513.25;28.81;0.99;1.52;2.72;0.00
0.00;11051.00;DEFAULT_EDGEDATA;45;15.09;36;3681;1044;0;0;7.55;3672;3.77;0.90;2522.06;22.28;0.77;571.59;0.68;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;3.23;0;972;1045;0;0;3.23;972;1.61;0.65;453.17;27.26;0.94;23.24;0.47;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;51.24;2064;12990;1046;0;0;8.54;15054;4.27;2.19;30182.93;26.58;0.91;2265.90;2.00;0.00
0.00;11051.00;DEFAULT_EDGEDATA;39;38.91;144;11577;1047;0;0;9.73;11682;4.86;3.15;34732.74;27.26;0.94;1814.31;2.96;0.00
0.00;11051.00;DEFAULT_EDGEDATA;15;2.11;0;666;1048;0;0;2.11;651;1.06;0.65;314.13;28.54;0.98;3.35;0.47;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;9.69;0;3036;1049;0;0;4.84;3036;2.42;1.05;2643.36;28.36;0.98;41.54;0.87;0.00
0.00;11051.00;DEFAULT_EDGEDATA;27;26.55;69;7575;105;0;0;8.85;7617;4.43;0.94;5683.37;26.05;0.90;538.64;0.74;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.71;0;1440;1050;0;0;2.36;1440;1.18;1.18;1444.25;27.65;0.95;52.14;1.00;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.95;0;300;1051;0;0;0.95;300;0.47;0.32;45.00;28.60;0.98;0.30;0.15;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.86;30;555;1052;0;0;0.93;585;0.47;0.48;178.26;28.39;0.98;2.04;0.30;0.00
0.00;11051.00;DEFAULT_EDGEDATA;30;30.81;0;7362;1053;0;0;15.40;7332;7.70;2.59;17400.05;21.62;0.74;4335.55;2.36;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.97;0;936;1054;0;0;1.48;936;0.74;2.48;2159.91;28.54;0.98;20.09;2.31;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;7.83;18;2427;1056;0;0;3.91;2445;1.96;0.46;683.37;28.26;0.97;12.21;0.28;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.64;0;507;1057;0;0;1.64;507;0.82;2.70;1278.97;27.98;0.96;34.26;2.52;0.00
0.00;11051.00;DEFAULT_EDGEDATA;108;8.92;0;2835;1059;0;0;4.46;2727;2.23;0.34;463.07;28.77;0.99;0.78;0.16;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;3.74;171;948;106;0;0;1.87;1119;0.94;1.83;1841.32;27.07;0.93;113.84;1.65;0.00
0.00;11051.00;DEFAULT_EDGEDATA;1608;5.15;0;1608;1060;0;0;1.72;0;0.86;3.60;5509.42;28.25;0.97;115.13;3.43;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;46.35;66;12054;1061;0;0;11.59;12120;5.79;2.57;28610.47;23.66;0.81;5048.34;2.36;0.00
0.00;11051.00;DEFAULT_EDGEDATA;27;6.78;0;2073;1062;0;0;2.26;2046;1.13;1.33;2376.91;27.66;0.95;98.60;1.15;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;61.09;192;14625;1063;0;0;15.27;14817;7.64;1.52;19145.38;21.95;0.76;4535.79;1.29;0.00
0.00;11051.00;DEFAULT_EDGEDATA;528;25.77;114;7182;1064;0;0;8.59;6768;4.29;1.27;7865.69;25.62;0.88;857.58;1.08;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;11.54;252;3330;1065;0;0;3.85;3582;1.92;1.30;4027.72;28.08;0.97;105.07;1.12;0.00
0.00;11051.00;DEFAULT_EDGEDATA;27;1.04;0;327;1066;0;0;1.04;300;0.52;0.69;167.19;28.50;0.98;1.03;0.51;0.00
0.00;11051.00;DEFAULT_EDGEDATA;60;6.28;21;1905;1067;0;0;3.14;1866;1.57;1.70;2924.35;27.73;0.95;98.23;1.52;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.62;45;1971;1068;0;0;6.62;2016;3.31;1.41;2474.07;27.56;0.95;107.35;1.23;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.37;0;1332;1069;0;0;2.18;1332;1.09;0.99;1070.81;27.60;0.95;39.21;0.80;0.00
0.00;11051.00;DEFAULT_EDGEDATA;36;1.61;0;504;107;0;0;0.80;468;0.40;1.30;564.58;28.33;0.98;7.94;1.12;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.05;57;1209;1070;0;0;2.02;1266;1.01;0.31;168.66;28.30;0.97;2.86;0.13;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.25;0;81;1071;0;0;0.25;81;0.13;0.45;22.41;28.91;0.99;0.06;0.28;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.75;270;1218;1072;0;0;2.38;1488;1.19;1.28;1646.30;28.33;0.97;26.95;1.11;0.00
0.00;11051.00;DEFAULT_EDGEDATA;237;58.54;0;16026;1073;0;0;9.76;15789;4.88;2.92;43482.55;24.77;0.85;6045.81;2.71;0.00
0.00;11051.00;DEFAULT_EDGEDATA;21;5.49;96;1563;1074;0;0;2.75;1638;1.37;0.85;1099.96;27.34;0.94;48.93;0.66;0.00
0.00;11051.00;DEFAULT_EDGEDATA;117;50.58;0;13035;1075;0;0;10.12;12918;5.06;1.84;21238.46;23.32;0.80;4018.49;1.63;0.00
0.00;11051.00;DEFAULT_EDGEDATA;108;2.49;0;786;1076;0;0;2.49;678;1.24;0.64;369.12;28.58;0.98;3.32;0.47;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.69;0;528;1077;0;0;1.69;528;0.85;1.55;723.34;28.24;0.97;10.35;1.37;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;3.12;114;876;1078;0;0;1.04;990;0.52;1.59;1402.75;28.67;0.99;13.87;1.42;0.00
0.00;11051.00;DEFAULT_EDGEDATA;120;2.89;51;864;1079;0;0;1.44;795;0.72;0.61;398.10;28.66;0.99;1.53;0.44;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.58;0;183;108;0;0;0.58;183;0.29;1.27;200.95;28.74;0.99;1.07;1.10;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;10.89;0;3306;1080;0;0;5.44;3306;2.72;2.78;8603.86;27.48;0.95;393.50;2.60;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;9.00;0;2772;1081;0;0;4.50;2772;2.25;0.63;1246.41;27.87;0.96;40.59;0.45;0.00
0.00;11051.00;DEFAULT_EDGEDATA;42;2.37;279;429;1082;0;0;2.37;666;1.19;0.57;271.80;27.01;0.93;15.80;0.38;0.00
0.00;11051.00;DEFAULT_EDGEDATA;477;1.50;0;477;1083;0;0;1.50;0;0.75;0.70;251.24;28.74;0.99;0.05;0.53;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;24.22;21;6699;1084;0;0;8.07;6720;4.04;14.65;97088.52;25.10;0.86;12295.44;14.45;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.85;0;1512;1085;0;0;2.43;1512;1.21;1.30;1690.08;28.19;0.97;29.78;1.12;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;25.27;255;7224;1087;0;0;12.63;7479;6.32;1.40;9052.95;26.78;0.92;625.48;1.21;0.00
0.00;11051.00;DEFAULT_EDGEDATA;18;4.45;0;1353;1088;0;0;2.22;1335;1.11;0.87;930.86;27.54;0.95;35.84;0.69;0.00
0.00;11051.00;DEFAULT_EDGEDATA;66;25.28;0;7287;1089;0;0;8.43;7221;4.21;2.73;18531.15;26.08;0.90;1766.92;2.54;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.31;0;81;109;0;0;0.31;81;0.15;0.96;60.63;23.70;0.82;11.04;0.75;0.00
0.00;11051.00;DEFAULT_EDGEDATA;258;6.71;0;2037;1090;0;0;2.24;1779;1.12;1.09;1848.92;27.45;0.94;90.05;0.91;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.39;30;1911;1091;0;0;3.20;1941;1.60;3.47;6381.05;27.49;0.95;265.22;3.29;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.25;0;81;1092;0;0;0.25;81;0.13;0.53;28.88;28.92;1.00;0.07;0.36;0.00
0.00;11051.00;DEFAULT_EDGEDATA;120;1.26;0;402;1093;0;0;1.26;282;0.63;0.28;44.05;28.84;0.99;0.28;0.11;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;9.42;0;2859;1094;0;0;4.71;2859;2.35;0.80;1778.77;27.47;0.95;82.15;0.62;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;38.94;462;11412;1095;0;0;6.49;11874;3.24;2.17;23613.99;27.60;0.95;946.19;1.99;0.00
0.00;11051.00;DEFAULT_EDGEDATA;549;12.71;30;3858;1096;0;0;3.18;3339;1.59;0.51;1296.65;27.68;0.95;46.62;0.33;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.12;0;360;1097;0;0;1.12;360;0.56;0.89;257.78;28.98;1.00;1.19;0.72;0.00
0.00;11051.00;DEFAULT_EDGEDATA;111;12.41;0;3588;1098;0;0;4.14;3477;2.07;2.88;9644.05;26.16;0.90;894.99;2.69;0.00
0.00;11051.00;DEFAULT_EDGEDATA;36;9.13;15;2772;1099;0;0;4.57;2751;2.28;1.20;2853.74;27.62;0.95;119.13;1.02;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;30.09;8904;0;11;0;0;7.52;8904;3.76;2.35;19299.21;26.78;0.92;1296.98;2.17;0.00
0.00;11051.00;DEFAULT_EDGEDATA;45;17.75;0;5415;110;0;0;5.92;5370;2.96;3.57;18372.69;27.61;0.95;778.68;3.39;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.73;42;822;1101;0;0;1.37;864;0.68;0.67;429.15;28.63;0.99;2.19;0.50;0.00
0.00;11051.00;DEFAULT_EDGEDATA;1365;6.22;0;1365;1102;0;0;1.24;0;0.62;2.02;2417.79;19.84;0.99;7.31;1.77;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.14;9;1866;1103;0;0;3.07;1875;1.54;2.29;3962.62;27.63;0.95;145.54;2.11;0.00
0.00;11051.00;DEFAULT_EDGEDATA;12;16.37;69;4464;1104;0;0;16.37;4521;8.18;3.44;14687.26;25.06;0.86;1910.84;3.24;0.00
0.00;11051.00;DEFAULT_EDGEDATA;48;5.26;0;1674;1105;0;0;2.63;1626;1.31;0.59;689.34;28.83;0.99;0.20;0.41;0.00
0.00;11051.00;DEFAULT_EDGEDATA;12;1.71;0;540;1106;0;0;1.71;528;0.85;0.41;126.52;28.60;0.98;0.61;0.23;0.00
0.00;11051.00;DEFAULT_EDGEDATA;7731;26.88;0;7731;1107;0;0;5.38;0;2.69;2.08;14625.81;26.02;0.90;1393.78;1.89;0.00
0.00;11051.00;DEFAULT_EDGEDATA;186;17.24;0;5025;1108;0;0;5.75;4839;2.87;1.26;5392.65;26.38;0.91;436.92;1.07;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;21.00;0;6063;111;0;0;10.50;6063;5.25;1.04;5117.19;26.13;0.90;478.62;0.84;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.55;72;738;1110;0;0;0.85;810;0.43;1.60;1152.17;28.74;0.99;6.56;1.42;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;10.31;54;3120;1111;0;0;5.16;3174;2.58;1.64;4642.57;27.85;0.96;145.21;1.46;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;3.80;810;0;1112;0;0;0.95;810;0.47;2.92;2157.67;19.29;0.96;63.30;2.66;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.02;0;324;1113;0;0;1.02;324;0.51;0.39;70.85;28.81;0.99;0.04;0.22;0.00
0.00;11051.00;DEFAULT_EDGEDATA;687;54.62;0;15168;1114;0;0;10.92;14481;5.46;4.47;64731.42;25.13;0.86;8133.38;4.27;0.00
0.00;11051.00;DEFAULT_EDGEDATA;615;1.96;0;615;1115;0;0;0.98;0;0.49;3.59;2100.51;28.34;0.98;43.14;3.42;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.57;0;816;1116;0;0;1.28;816;0.64;4.80;3778.68;28.76;0.99;14.22;4.63;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;28.77;387;8340;1117;0;0;5.75;8727;2.88;4.82;40452.62;27.45;0.94;1766.24;4.64;0.00
0.00;11051.00;DEFAULT_EDGEDATA;33;2.42;0;753;1118;0;0;2.42;720;1.21;0.82;485.68;28.14;0.97;10.45;0.64;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;5.02;270;1227;1119;0;0;5.02;1497;2.51;0.89;1052.84;26.96;0.93;67.75;0.70;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;43.41;1116;11874;112;0;0;7.23;12990;3.62;2.12;25164.43;27.08;0.93;1460.71;1.94;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;23.24;99;6543;1121;0;0;7.75;6642;3.87;1.43;8244.04;25.86;0.89;833.06;1.24;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;21.08;204;6066;1122;0;0;7.03;6270;3.51;0.74;3498.96;26.92;0.93;229.21;0.56;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;21.15;144;5907;1123;0;0;10.57;6051;5.29;1.41;7376.13;25.89;0.89;733.43;1.22;0.00
0.00;11051.00;DEFAULT_EDGEDATA;54;1.21;0;375;1124;0;0;1.21;321;0.60;3.74;1335.23;28.12;0.97;23.12;3.56;0.00
0.00;11051.00;DEFAULT_EDGEDATA;912;4.65;0;1419;1125;0;0;2.32;507;1.16;2.16;2803.31;27.64;0.95;106.58;1.98;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;7.97;48;2421;1126;0;0;3.98;2469;1.99;3.76;8836.01;28.04;0.96;240.64;3.58;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;3.71;0;1149;1127;0;0;3.71;1149;1.86;2.63;2812.38;28.02;0.96;60.64;2.45;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.58;0;816;1128;0;0;1.29;816;0.64;4.27;3341.18;28.67;0.99;23.55;4.09;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.03;12;627;1129;0;0;1.02;639;0.51;3.13;1890.30;28.46;0.98;17.01;2.96;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;10.72;339;2991;1130;0;0;3.57;3330;1.79;1.41;4105.61;28.11;0.97;101.93;1.23;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;6.49;21;1953;1131;0;0;6.49;1974;3.25;1.01;1631.97;27.52;0.95;73.41;0.83;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;5.98;51;1812;1132;0;0;2.99;1863;1.50;5.70;10291.81;28.17;0.97;185.77;5.52;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;55.16;213;14517;1133;0;0;13.79;14730;6.89;10.33;149110.39;24.17;0.83;23700.45;10.12;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.58;0;810;1134;0;0;2.58;810;1.29;1.56;1118.63;28.44;0.98;15.58;1.38;0.00
0.00;11051.00;DEFAULT_EDGEDATA;240;7.00;54;2130;1135;0;0;3.50;1944;1.75;0.55;804.68;28.23;0.97;15.05;0.37;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;4.80;81;1377;1136;0;0;4.80;1458;2.40;0.58;583.47;27.46;0.95;26.11;0.40;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;1.99;0;624;1137;0;0;1.99;624;1.00;2.66;1550.79;28.32;0.97;21.85;2.49;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.86;363;540;1138;0;0;0.95;903;0.48;0.83;587.25;28.60;0.98;3.33;0.65;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.08;0;645;1139;0;0;2.08;645;1.04;5.49;3427.39;28.02;0.96;83.37;5.31;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;0.57;0;183;1140;0;0;0.57;183;0.29;0.23;10.55;28.80;0.99;0.09;0.06;0.00
0.00;11051.00;DEFAULT_EDGEDATA;84;4.04;0;1284;1141;0;0;2.02;1200;1.01;0.79;789.21;28.75;0.99;3.18;0.61;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.04;21;621;1142;0;0;1.02;642;0.51;0.56;247.41;28.54;0.98;1.61;0.39;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;10.51;303;2859;1143;0;0;5.25;3162;2.63;0.83;2058.86;27.23;0.94;110.93;0.65;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;12.38;243;3582;1144;0;0;4.13;3825;2.06;1.55;5230.81;27.96;0.96;156.01;1.37;0.00
0.00;11051.00;DEFAULT_EDGEDATA;12;16.55;0;4905;1145;0;0;5.52;4893;2.76;3.39;15701.67;26.82;0.92;1090.31;3.20;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;5.38;270;1389;1146;0;0;2.69;1659;1.35;0.62;736.53;27.89;0.96;21.61;0.44;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.11;87;558;1147;0;0;1.06;645;0.53;1.00;526.19;27.65;0.95;19.63;0.82;0.00
0.00;11051.00;DEFAULT_EDGEDATA;0;2.20;702;0;1148;0;0;1.10;702;0.55;0.62;313.79;28.84;0.99;0.10;0.45;0.00
0.00;11051.00;DEFAULT_EDGEDATA;15;16.52;0;4893;1149;0;0;5.51;4878;2.75;1.79;7860.99;26.80;0.92;552.10;1.61;0.00
