interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11964.00;DEFAULT_EDGEDATA;0;3.37;0;1060;819;0;0;1.69;1060;0.84;1.49;1375.28;26.29;0.90;115.74;1.30;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;119.41;0;3996;82;0;0;29.85;3996;14.93;11.04;36972.06;2.80;0.10;33378.44;9.25;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.36;0;444;821;0;0;0.68;444;0.34;0.87;304.49;27.36;0.94;14.86;0.69;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.24;0;1030;823;0;0;1.08;1030;0.54;0.90;733.55;26.61;0.92;54.27;0.71;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;14.62;0;3900;824;0;0;14.62;3900;7.31;0.67;1750.47;22.30;0.77;395.03;0.45;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.50;0;1517;825;0;0;2.25;1517;1.13;1.28;1670.77;28.17;0.97;33.97;1.10;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.88;0;1647;826;0;0;2.44;1647;1.22;1.32;1886.73;28.21;0.97;39.30;1.15;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;150.97;0;3900;827;0;0;50.32;3900;25.16;29.21;104903.38;2.16;0.07;97038.26;26.90;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;32;831;0;0;0.02;32;0.01;1.76;50.52;28.32;0.97;0.00;1.58;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;11.71;0;3896;833;0;0;5.85;3896;2.93;5.42;20407.93;27.82;0.96;640.24;5.24;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.54;0;186;834;0;0;0.54;186;0.27;2.03;346.08;28.79;0.99;0.02;1.86;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;38.80;0;2746;835;0;0;9.70;2746;4.85;12.44;31843.13;5.92;0.20;25293.70;11.60;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.56;0;1517;837;0;0;2.28;1517;1.14;1.03;1285.83;27.83;0.96;41.11;0.85;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;101.40;0;3900;838;0;0;33.80;3900;16.90;18.02;64198.21;3.21;0.11;57031.90;16.46;0.00
