edge_from;edge_id;edge_length;edge_numLanes;edge_speed;edge_to
1614922744;0;23.141938940358326;2;29.0576;1614922747
269459339;1;60.82639799579684;5;29.0576;269459341
1621320618;2;109.46496614412193;2;29.0576;1621320622
269459229;3;160.72064533082346;3;29.0576;269459230
607954833;4;173.0177062695189;3;29.0576;1613371666
4055678332;5;53.845946059546144;4;29.0576;807631221
268538950;6;105.71026949263089;4;29.0576;1614922891
1613371754;7;78.96506974414679;3;29.0576;1613371761
1614923010;8;7.941130461025734;1;29.0576;1614923008
317643895;9;33.51002724442035;3;29.0576;317643896
1997429756;10;28.741386533165795;2;29.0576;1997429749
404828672;11;58.04146875912769;4;29.0576;404828674
2358067024;12;24.88586482160957;3;29.0576;269459236
72744120;13;55.1919407674255;2;29.0576;72743927
2358067026;14;21.802207365426025;3;29.0576;268538920
268538665;15;32.670138494276884;1;29.0576;268538666
338507115;16;10.032723141148844;4;29.0576;338507116
269459425;17;20.168741665225777;2;29.0576;269459426
317640401;18;24.471421058357095;3;29.0576;317640716
317640401;19;46.65159025729162;1;29.0576;317641203
2351053412;20;17.390999932921087;2;29.0576;2351053233
16582685;21;82.83580167662717;3;29.0576;607954833
269459287;22;17.88337864862518;2;29.0576;269459288
6833701513;23;8.338476871073944;2;29.0576;1614922731
2358067021;24;16.898468882436436;3;29.0576;268538941
268539967;25;11.11136761668187;1;29.0576;372968829
7159741550;26;3.779337113182924;1;29.0576;1614922818
2351071530;27;27.66559337066911;3;29.0576;2351071550
363433967;28;52.72201293474377;2;29.0576;72602888
2358067014;29;10.950337869500496;2;29.0576;404827084
317645260;30;37.17806310613524;3;29.0576;317645261
317643110;31;38.86208963154789;2;29.0576;910997750
1621320652;32;8.763698729604267;2;29.0576;1621320650
1613371686;33;49.39727282398285;3;29.0576;1613371696
271049967;34;3.7479519220770747;2;29.0576;6833701511
1614922823;35;21.589078161812118;1;29.0576;1614922826
353034891;36;27.093064727896685;2;29.0576;353035386
1969136948;37;39.8585922658673;3;29.0576;1613580550
2351053336;38;16.59370351583837;2;29.0576;268648979
268539536;39;46.84710774850431;1;29.0576;268539537
268538668;40;23.98258204262588;2;29.0576;268538752
317640722;41;36.20559253571688;3;29.0576;317640723
268539390;42;25.449011990185742;4;29.0576;268539391
2351053429;43;15.093868627725657;1;29.0576;2351053222
269459235;44;24.99800222028653;3;29.0576;2358067024
317643108;45;41.471076086543086;2;29.0576;317643109
268537945;46;183.13546299260648;2;29.0576;268537922
269459084;47;38.529397816963844;5;29.0576;269459161
