edge_from;edge_id;edge_length;edge_numLanes;edge_speed;edge_to
663028776;0;85.85632173932878;5;29.0576;32915539
349678308;1;33.691469980775906;2;29.0576;349678300
120816570;2;13.396196098359319;1;29.0576;3971849316
31354482;3;174.51468028469952;2;29.0576;31416669
62292066;4;20.349926471821;1;29.0576;62292068
57799122;5;8.147325748223771;1;29.0576;57799119
249050676;6;15.17401499417071;1;29.0576;249050672
257881189;7;7.1406620514465455;1;29.0576;2749875298
242198769;8;8.82884399361356;2;29.0576;242198770
262879785;9;75.02792612801196;4;29.0576;667323956
1316890814;10;15.361935914842768;1;29.0576;1316890842
1341797155;11;5.131863663868405;1;29.0576;311870721
53058092;12;80.90356715428406;4;20.1168;242127616
53058092;13;11.53876285698029;2;29.0576;679018304
263015140;14;116.50342373042358;4;29.0576;263015141
1298989127;15;14.037575443700362;2;29.0576;704864787
55967399;16;18.212732587505563;1;29.0576;55967400
287795137;17;67.78286609776868;2;29.0576;287795138
62286223;18;26.59790925869269;1;29.0576;62286221
263673638;19;10.846647596670822;4;29.0576;6633309994
76008932;20;33.53386262698756;3;29.0576;312114642
354850021;21;6.7332416744518735;1;29.0576;55953243
312114803;22;28.596321816868965;2;29.0576;283302413
1293083021;23;21.99282799239472;1;29.0576;1293082976
1672993653;24;24.382966614158715;2;29.0576;1672993690
1316693127;25;12.140227540028771;2;29.0576;1316693224
306534233;26;25.333876887538963;2;29.0576;306534234
1084035730;27;48.04843046991773;4;29.0576;32817079
880157286;28;96.31507730995837;2;29.0576;253285476
55955693;29;61.89654298169562;3;29.0576;56027885
31053118;30;43.53841114465213;4;29.0576;1293038686
3937107060;31;9.57700322028717;2;29.0576;95704200
657786922;32;31.29276902894633;1;29.0576;441564385
1215627900;33;65.90262181974624;2;29.0576;1215627901
6810336735;34;8.00406831283451;1;29.0576;2445286219
345572165;35;38.45081050528658;1;29.0576;345572164
260111596;36;68.6653977675674;3;29.0576;260111598
302505395;37;27.616582941995198;2;29.0576;302505396
1292987726;38;53.46503714112735;1;29.0576;259169362
434335815;39;1124.6639295876687;4;29.0576;259459555
1297872232;40;22.02546506153171;1;29.0576;1297872124
7048863175;41;5.4941849157091625;1;29.0576;1079980500
1671730548;42;395.6450388290976;2;29.0576;1633053644
1293117802;43;28.129240663167558;5;29.0576;1293117799
318856519;44;10.623041550862212;1;29.0576;318856520
1652655119;45;15.880244504223352;2;29.0576;1652655111
1722583661;46;15.328164724034234;1;29.0576;1722583602
6862215717;47;11.181312921651442;2;29.0576;461389481
721468410;48;73.22721850926266;1;29.0576;257362967
1344295846;49;59.842875136897014;1;29.0576;1344295988
257939642;50;49.32771439021986;3;29.0576;257939643
3958567206;51;16.367791504664257;3;29.0576;3958567207
484028233;52;69.59357037321624;1;29.0576;3987458618
1212611143;53;57.48944183337882;2;29.0576;1212610992
1343014381;54;13.277197197782444;1;29.0576;1343014283
62357407;55;13.079193000855286;1;29.0576;62357406
247138151;56;18.917732085954135;1;29.0576;247138154
1372757926;57;13.432686170790262;2;29.0576;1372757935
257395459;58;15.671931046644797;1;29.0576;1666847606
