edge_id,edge_from,edge_to,edge_length,edge_numLanes,edge_speed,flow,vehicle_speed
0,663028776,32915539,85.85632173932878,5,29.0576,2090.0,26.36
1,349678308,349678300,33.691469980775906,2,29.0576,67.0,27.26
2,120816570,3971849316,13.39619609835932,1,29.0576,0.0,0.0
3,31354482,31416669,174.51468028469952,2,29.0576,767.0,17.33
4,62292066,62292068,20.349926471821,1,29.0576,0.0,0.0
5,57799122,57799119,8.147325748223771,1,29.0576,11.0,26.71
6,249050676,249050672,15.17401499417071,1,29.0576,0.0,0.0
7,257881189,2749875298,7.1406620514465455,1,29.0576,0.0,0.0
8,242198769,242198770,8.82884399361356,2,29.0576,20.0,28.5
9,262879785,667323956,75.02792612801196,4,29.0576,2777.0,24.21
10,1316890814,1316890842,15.361935914842768,1,29.0576,0.0,0.0
11,1341797155,311870721,5.131863663868405,1,29.0576,0.0,0.0
12,53058092,242127616,80.90356715428406,4,20.1168,0.0,0.0
13,53058092,679018304,11.53876285698029,2,29.0576,0.0,0.0
14,263015140,263015141,116.50342373042358,4,29.0576,2792.0,22.02
15,1298989127,704864787,14.037575443700362,2,29.0576,246.0,25.18
16,55967399,55967400,18.212732587505563,1,29.0576,28.0,28.83
17,287795137,287795138,67.78286609776868,2,29.0576,0.0,0.0
18,62286223,62286221,26.59790925869269,1,29.0576,154.0,27.72
19,263673638,6633309994,10.846647596670822,4,29.0576,0.0,0.0
20,76008932,312114642,33.53386262698756,3,29.0576,1728.0,26.1
21,354850021,55953243,6.7332416744518735,1,29.0576,0.0,0.0
22,312114803,283302413,28.596321816868965,2,29.0576,1032.0,26.28
23,1293083021,1293082976,21.99282799239472,1,29.0576,0.0,0.0
24,1672993653,1672993690,24.382966614158715,2,29.0576,164.0,28.23
25,1316693127,1316693224,12.140227540028771,2,29.0576,0.0,0.0
26,306534233,306534234,25.333876887538963,2,29.0576,324.0,27.04
27,1084035730,32817079,48.04843046991773,4,29.0576,2183.0,23.82
28,880157286,253285476,96.31507730995835,2,29.0576,278.0,26.49
29,55955693,56027885,61.89654298169562,3,29.0576,869.0,25.78
30,31053118,1293038686,43.53841114465213,4,29.0576,2563.0,24.46
31,3937107060,95704200,9.57700322028717,2,29.0576,0.0,0.0
32,657786922,441564385,31.29276902894633,1,29.0576,0.0,0.0
33,1215627900,1215627901,65.90262181974624,2,29.0576,1083.0,27.7
34,6810336735,2445286219,8.00406831283451,1,29.0576,0.0,0.0
35,345572165,345572164,38.45081050528658,1,29.0576,288.0,27.96
36,260111596,260111598,68.6653977675674,3,29.0576,0.0,0.0
37,302505395,302505396,27.6165829419952,2,29.0576,1387.0,25.59
38,1292987726,259169362,53.46503714112735,1,29.0576,327.0,27.47
39,434335815,259459555,1124.6639295876687,4,29.0576,4293.0,23.16
40,1297872232,1297872124,22.02546506153171,1,29.0576,0.0,0.0
41,7048863175,1079980500,5.4941849157091625,1,29.0576,0.0,0.0
42,1671730548,1633053644,395.6450388290976,2,29.0576,833.0,25.07
43,1293117802,1293117799,28.12924066316756,5,29.0576,1516.0,24.69
44,318856519,318856520,10.623041550862212,1,29.0576,0.0,0.0
45,1652655119,1652655111,15.880244504223352,2,29.0576,645.0,26.43
46,1722583661,1722583602,15.328164724034234,1,29.0576,0.0,0.0
47,6862215717,461389481,11.181312921651442,2,29.0576,491.0,27.13
48,721468410,257362967,73.22721850926266,1,29.0576,0.0,0.0
49,1344295846,1344295988,59.84287513689701,1,29.0576,0.0,0.0
50,257939642,257939643,49.32771439021986,3,29.0576,0.0,0.0
51,3958567206,3958567207,16.367791504664257,3,29.0576,0.0,0.0
52,484028233,3987458618,69.59357037321624,1,29.0576,23.0,29.27
53,1212611143,1212610992,57.48944183337882,2,29.0576,1758.0,25.44
54,1343014381,1343014283,13.277197197782444,1,29.0576,0.0,0.0
55,62357407,62357406,13.079193000855286,1,29.0576,0.0,0.0
56,247138151,247138154,18.917732085954132,1,29.0576,0.0,0.0
57,1372757926,1372757935,13.432686170790262,2,29.0576,0.0,0.0
58,257395459,1666847606,15.671931046644795,1,29.0576,0.0,0.0
59,1082915439,2479532338,3.1739516292153898,1,29.0576,0.0,0.0
60,1299177534,1299177643,7.850500371317097,1,29.0576,0.0,0.0
61,579253280,579253279,59.55205920087826,4,29.0576,3269.0,20.93
62,62486680,4382564306,32.38206362026702,4,29.0576,2546.0,25.04
63,30364103,30364104,23.380027720618745,3,29.0576,52.0,28.41
64,906144717,2262534335,13.168474374128856,2,29.0576,241.0,27.86
65,310969356,310969357,20.886366891264803,2,29.0576,254.0,27.89
66,262080651,65358524,11.23825726449629,2,29.0576,496.0,27.64
67,62197140,62197138,12.075942920407137,1,29.0576,89.0,28.38
68,242865092,242865093,8.666275063218292,1,29.0576,0.0,0.0
69,1288772014,242905574,34.51942732794933,4,29.0576,2905.0,25.29
70,6424286655,461427830,14.728784022738614,1,29.0576,0.0,0.0
71,1700030778,3557416951,48.32847016740208,3,29.0576,1952.0,25.08
72,57852746,256027515,89.22285139351733,4,29.0576,2837.0,23.84
73,3742063551,3742063552,27.207660930408174,3,29.0576,2845.0,24.31
74,4334644641,4334644636,7.439462643064146,2,29.0576,0.0,0.0
75,242857744,1611390303,28.889966973090417,3,29.0576,3061.0,10.25
76,1590330213,1590330212,42.53894821050935,2,29.0576,103.0,28.07
77,32793937,5047780854,263.04065668221403,5,29.0576,3496.0,19.36
78,4399281339,62486029,34.32063409794748,4,29.0576,0.0,0.0
79,2721791335,62308645,10.449665855801475,1,29.0576,28.0,28.77
80,1096017179,1096017182,21.531096590422116,1,29.0576,0.0,0.0
81,62486654,4382564319,31.85474603693953,4,29.0576,2546.0,25.27
82,5019377158,318560066,90.92420414102084,1,29.0576,122.0,28.77
83,905962722,2262493186,20.04975506403037,2,29.0576,0.0,0.0
84,541339767,65404847,10.19953906761347,2,29.0576,0.0,0.0
85,575596580,1223852102,45.834020493144855,4,29.0576,2703.0,19.67
86,476647871,476647872,10.456609194444074,1,29.0576,0.0,0.0
87,65436921,65359620,102.14509905866964,4,20.1168,0.0,0.0
