node_id;node_x;node_y
269459457;-118.2153;34.0560671
317640716;-118.2217783;34.0362538
317640717;-118.2217697;34.0360831
317640718;-118.2217526;34.0358057
317640719;-118.2217182;34.0355212
317640720;-118.2216753;34.0352012
317640721;-118.2216238;34.0349807
317640722;-118.2215637;34.0347459
317640723;-118.2214521;34.034433
317640724;-118.2212633;34.033992
269459476;-118.2153934;34.0557105
317640725;-118.2210745;34.0336861
317640726;-118.2208084;34.0333376
317640727;-118.2203793;34.032861
1832222745;-118.1970812;34.055712
269459482;-118.2154084;34.0553185
269459483;-118.2153826;34.0551336
269459484;-118.2153225;34.0549487
1832222747;-118.1974245;34.0556353
1832222749;-118.2065942;34.0537684
1832222751;-118.2056675;34.0538176
269459481;-118.2154142;34.0554314
1832222753;-118.2045544;34.0540096
269459490;-118.2155059;34.055278
269459491;-118.2155003;34.0550826
269459489;-118.2154874;34.0554298
269459492;-118.2154543;34.0548988
269459494;-118.2153848;34.0547074
269459495;-118.2152893;34.054514
269459496;-118.2150393;34.0542021
269459501;-118.2137834;34.0528643
269459502;-118.2137226;34.0531707
269459503;-118.2136509;34.0533603
269459504;-118.2135204;34.0535832
269459505;-118.2133918;34.0537407
269459506;-118.2132238;34.0539018
269459507;-118.2129988;34.0540673
269459508;-118.2127029;34.0542225
326746165;-118.2147044;34.0543574
269459509;-118.2124615;34.0543184
326746167;-118.2145257;34.0542911
269459512;-118.211546;34.0544083
269459510;-118.2121697;34.0543968
268537914;-118.183539;34.0561085
268537915;-118.1840883;34.0559023
268537916;-118.1846462;34.0557316
326746173;-118.2137234;34.0542547
268537917;-118.1851955;34.0556107
268537919;-118.1863199;34.0554614
268537920;-118.1870667;34.0554258
268537921;-118.1878391;34.0554258
268537922;-118.1894098;34.0554614
268537923;-118.1914698;34.0555183
268537918;-118.185762;34.0555183
268537940;-118.1854015;34.0557458
268537943;-118.1859251;34.0556463
268537944;-118.1866718;34.0555538
268537945;-118.1874271;34.0555112
363434095;-118.2151757;34.0456587
1738813599;-118.2423917;34.0572892
1738813601;-118.2434956;34.0578874
1615052982;-118.2182211;34.0328322
