Detector;Time;qPKW;vPKW
det1046_0;0.0;833.0;29.30750398538646
det1046_0;60.0;833.0;29.30750398538646
det1046_0;120.0;833.0;29.30750398538646
det1046_0;180.0;833.0;29.30750398538646
det1046_0;240.0;833.0;29.30750398538646
det1046_0;300.0;833.0;29.30750398538646
det1046_0;360.0;833.0;29.30750398538646
det1046_0;420.0;833.0;29.30750398538646
det1046_0;480.0;833.0;29.30750398538646
det1046_0;540.0;833.0;29.30750398538646
det1046_0;600.0;833.0;29.30750398538646
det1046_0;660.0;833.0;29.30750398538646
det1046_0;720.0;833.0;29.30750398538646
det1046_0;780.0;833.0;29.30750398538646
det1046_0;840.0;833.0;29.30750398538646
det1046_0;900.0;833.0;29.30750398538646
det1046_0;960.0;833.0;29.30750398538646
det1046_0;1020.0;833.0;29.30750398538646
det1046_0;1080.0;833.0;29.30750398538646
det1046_0;1140.0;833.0;29.30750398538646
det1046_0;1200.0;833.0;29.30750398538646
det1046_0;1260.0;833.0;29.30750398538646
det1046_0;1320.0;833.0;29.30750398538646
det1046_0;1380.0;833.0;29.30750398538646
det1046_1;0.0;833.0;29.30750398538646
det1046_1;60.0;833.0;29.30750398538646
det1046_1;120.0;833.0;29.30750398538646
det1046_1;180.0;833.0;29.30750398538646
det1046_1;240.0;833.0;29.30750398538646
det1046_1;300.0;833.0;29.30750398538646
det1046_1;360.0;833.0;29.30750398538646
det1046_1;420.0;833.0;29.30750398538646
det1046_1;480.0;833.0;29.30750398538646
det1046_1;540.0;833.0;29.30750398538646
det1046_1;600.0;833.0;29.30750398538646
det1046_1;660.0;833.0;29.30750398538646
det1046_1;720.0;833.0;29.30750398538646
det1046_1;780.0;833.0;29.30750398538646
det1046_1;840.0;833.0;29.30750398538646
det1046_1;900.0;833.0;29.30750398538646
det1046_1;960.0;833.0;29.30750398538646
det1046_1;1020.0;833.0;29.30750398538646
det1046_1;1080.0;833.0;29.30750398538646
det1046_1;1140.0;833.0;29.30750398538646
det1046_1;1200.0;833.0;29.30750398538646
det1046_1;1260.0;833.0;29.30750398538646
det1046_1;1320.0;833.0;29.30750398538646
det1046_1;1380.0;833.0;29.30750398538646
det1046_2;0.0;833.0;29.30750398538646
det1046_2;60.0;833.0;29.30750398538646
det1046_2;120.0;833.0;29.30750398538646
det1046_2;180.0;833.0;29.30750398538646
det1046_2;240.0;833.0;29.30750398538646
det1046_2;300.0;833.0;29.30750398538646
det1046_2;360.0;833.0;29.30750398538646
det1046_2;420.0;833.0;29.30750398538646
det1046_2;480.0;833.0;29.30750398538646
det1046_2;540.0;833.0;29.30750398538646
det1046_2;600.0;833.0;29.30750398538646
det1046_2;660.0;833.0;29.30750398538646
det1046_2;720.0;833.0;29.30750398538646
det1046_2;780.0;833.0;29.30750398538646
det1046_2;840.0;833.0;29.30750398538646
det1046_2;900.0;833.0;29.30750398538646
det1046_2;960.0;833.0;29.30750398538646
det1046_2;1020.0;833.0;29.30750398538646
det1046_2;1080.0;833.0;29.30750398538646
det1046_2;1140.0;833.0;29.30750398538646
det1046_2;1200.0;833.0;29.30750398538646
det1046_2;1260.0;833.0;29.30750398538646
det1046_2;1320.0;833.0;29.30750398538646
det1046_2;1380.0;833.0;29.30750398538646
det1046_3;0.0;833.0;29.30750398538646
det1046_3;60.0;833.0;29.30750398538646
det1046_3;120.0;833.0;29.30750398538646
det1046_3;180.0;833.0;29.30750398538646
det1046_3;240.0;833.0;29.30750398538646
det1046_3;300.0;833.0;29.30750398538646
det1046_3;360.0;833.0;29.30750398538646
det1046_3;420.0;833.0;29.30750398538646
det1046_3;480.0;833.0;29.30750398538646
det1046_3;540.0;833.0;29.30750398538646
det1046_3;600.0;833.0;29.30750398538646
det1046_3;660.0;833.0;29.30750398538646
det1046_3;720.0;833.0;29.30750398538646
det1046_3;780.0;833.0;29.30750398538646
det1046_3;840.0;833.0;29.30750398538646
det1046_3;900.0;833.0;29.30750398538646
det1046_3;960.0;833.0;29.30750398538646
det1046_3;1020.0;833.0;29.30750398538646
det1046_3;1080.0;833.0;29.30750398538646
det1046_3;1140.0;833.0;29.30750398538646
det1046_3;1200.0;833.0;29.30750398538646
det1046_3;1260.0;833.0;29.30750398538646
det1046_3;1320.0;833.0;29.30750398538646
det1046_3;1380.0;833.0;29.30750398538646
det1046_4;0.0;833.0;29.30750398538646
det1046_4;60.0;833.0;29.30750398538646
det1046_4;120.0;833.0;29.30750398538646
det1046_4;180.0;833.0;29.30750398538646
det1046_4;240.0;833.0;29.30750398538646
det1046_4;300.0;833.0;29.30750398538646
det1046_4;360.0;833.0;29.30750398538646
det1046_4;420.0;833.0;29.30750398538646
det1046_4;480.0;833.0;29.30750398538646
det1046_4;540.0;833.0;29.30750398538646
det1046_4;600.0;833.0;29.30750398538646
det1046_4;660.0;833.0;29.30750398538646
det1046_4;720.0;833.0;29.30750398538646
det1046_4;780.0;833.0;29.30750398538646
det1046_4;840.0;833.0;29.30750398538646
det1046_4;900.0;833.0;29.30750398538646
det1046_4;960.0;833.0;29.30750398538646
det1046_4;1020.0;833.0;29.30750398538646
det1046_4;1080.0;833.0;29.30750398538646
det1046_4;1140.0;833.0;29.30750398538646
det1046_4;1200.0;833.0;29.30750398538646
det1046_4;1260.0;833.0;29.30750398538646
det1046_4;1320.0;833.0;29.30750398538646
det1046_4;1380.0;833.0;29.30750398538646
det1046_5;0.0;833.0;29.30750398538646
det1046_5;60.0;833.0;29.30750398538646
det1046_5;120.0;833.0;29.30750398538646
det1046_5;180.0;833.0;29.30750398538646
det1046_5;240.0;833.0;29.30750398538646
det1046_5;300.0;833.0;29.30750398538646
det1046_5;360.0;833.0;29.30750398538646
det1046_5;420.0;833.0;29.30750398538646
det1046_5;480.0;833.0;29.30750398538646
det1046_5;540.0;833.0;29.30750398538646
det1046_5;600.0;833.0;29.30750398538646
det1046_5;660.0;833.0;29.30750398538646
det1046_5;720.0;833.0;29.30750398538646
det1046_5;780.0;833.0;29.30750398538646
det1046_5;840.0;833.0;29.30750398538646
det1046_5;900.0;833.0;29.30750398538646
det1046_5;960.0;833.0;29.30750398538646
det1046_5;1020.0;833.0;29.30750398538646
det1046_5;1080.0;833.0;29.30750398538646
det1046_5;1140.0;833.0;29.30750398538646
det1046_5;1200.0;833.0;29.30750398538646
det1046_5;1260.0;833.0;29.30750398538646
det1046_5;1320.0;833.0;29.30750398538646
det1046_5;1380.0;833.0;29.30750398538646
det1084_0;0.0;743.0;29.597896249343535
det1084_0;60.0;743.0;29.597896249343535
det1084_0;120.0;743.0;29.597896249343535
det1084_0;180.0;743.0;29.597896249343535
det1084_0;240.0;743.0;29.597896249343535
det1084_0;300.0;743.0;29.597896249343535
det1084_0;360.0;743.0;29.597896249343535
det1084_0;420.0;743.0;29.597896249343535
det1084_0;480.0;743.0;29.597896249343535
det1084_0;540.0;743.0;29.597896249343535
det1084_0;600.0;743.0;29.597896249343535
det1084_0;660.0;743.0;29.597896249343535
det1084_0;720.0;743.0;29.597896249343535
